,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.5960673255154,0.025095693591708823,0.007234268459171744,6,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.13537593452768054
2,2,-98.59785203006783,0.001784704552420635,0.005449563906751109,7,96.0,144,64,48,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.024282210158875266
3,3,-98.60015124739317,0.002299217325344216,0.003150346581406893,9,144.0,216,96,72,"d_f_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",0.030222507028150825
4,4,-98.6021641838268,0.002012936433629875,0.0011374101477770182,12,224.0,288,128,96,"d_f_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",-0.030236398555466736
5,5,-98.60257200133881,0.00040781751201279803,0.0007295926357642202,11,272.0,360,160,120,"d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.017800376503666237
6,6,-98.60295317479905,0.00038117346024080234,0.00034841917552341783,12,320.0,432,192,144,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.017803197223569593
7,7,-98.60296019026197,7.015462912818293e-06,0.00034140371261059954,92,368.0,504,224,168,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00036801859698706656
8,8,-98.60318738999615,0.00022719973418361405,0.00011420397842698549,19,392.0,514,232,174,s_f_exc_5_11,"[[5], [11]]",-0.012366548172521124
9,9,-98.60319348369156,6.093695404274513e-06,0.00010811028302271097,15,472.0,586,264,198,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0004809441357129241
10,10,-98.60319949068861,6.006997054441854e-06,0.00010210328596826912,19,520.0,658,296,222,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.00048094774724539427
11,11,-98.60327552626883,7.603558022140078e-05,2.606770574686834e-05,23,544.0,668,300,222,s_f_exc_4_10,"[[4], [10]]",-0.012365850869470774
12,12,-98.60328976459039,1.423832155467153e-05,1.1829384192196812e-05,24,576.0,678,308,228,s_f_exc_3_11,"[[3], [11]]",-0.0028862816733717742
13,13,-98.60330118617682,1.1421586435744757e-05,4.077977564520552e-07,23,608.0,688,312,228,s_f_exc_2_10,"[[2], [10]]",-0.00288635511915216
14,14,-98.60330136033434,1.741575204050605e-07,2.336402360469947e-07,15,688.0,760,344,252,"d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",8.108189505347542e-05
15,15,-98.60330153422777,1.7389342588103318e-07,5.97468101659615e-08,18,800.0,832,376,276,"d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-8.108241014343211e-05
16,16,-98.60330156414896,2.992119618738798e-08,2.982561397857353e-08,20,840.0,842,384,282,s_f_exc_1_11,"[[1], [11]]",-3.448940119486504e-05
17,17,-98.60330159397412,2.982515923122264e-08,4.547473508864641e-13,18,880.0,852,388,282,s_f_exc_0_10,"[[0], [10]]",-3.448722525399121e-05
18,18,-98.60330159397427,1.4210854715202004e-13,3.126388037344441e-13,4,928.0,924,420,306,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-2.3233641545606085e-08
